"id","name","gender","age","class","embarked","country","ticketno","fare","sibsp","parch","survived"
"21","Allen, Miss. Elisabeth Walton","female",29,"1st","S","United States",24160,211.6009,"0","0","yes"
"22","Allen, Mr. William Henry","male",39,"3rd","S","England",373450,8.01,"0","0","no"
"23","Allison, Master. Hudson Trevor","male",0.9166666667,"1st","S","Canada",113781,151.16,"1","2","yes"
"24","Allison, Miss. Helen Loraine","female",2,"1st","S","Canada",113781,151.16,"1","2","no"
"25","Allison, Mr. Hudson Joshua Creighton","male",30,"1st","S","Canada",113781,151.16,"1","2","no"
"26","Allison, Mrs. Bessie Waldo","female",25,"1st","S","United States",113781,151.16,"1","2","no"
"27","Allum, Mr. Owen George","male",18,"3rd","S","England",2223,8.06,"0","0","no"
"28","Al-Munà, Mr. Farīd Husayn Qāsim","male",19,"3rd","C","Lebanon",2700,7.0407,"0","0","no"
"29","Andersen-Jensen, Miss. Carla Christine Nielsine","female",19,"3rd","S","Denmark",350046,7.1701,"1","0","yes"
"30","Andersen, Mr. Albert Karvin","male",33,"3rd","S","Norway",4001,22.1006,"0","0","no"
"31","Anderson, Mr. Harry","male",47,"1st","S","United States",19952,26.11,"0","0","yes"
"32","Andersson, Master. Sigvard Harald Elias","male",4,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"33","Andersson, Miss. Ebba Iris Alfrida","female",6,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"34","Andersson, Miss. Ellis Anna Maria","female",2,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"35","Andersson, Miss. Erna Alexandra","female",16,"3rd","S","Finland",3101281,7.1806,"4","2","yes"
"36","Andersson, Miss. Ida Augusta Margareta","female",38,"3rd","S","Sweden",347091,7.1506,"4","2","no"
"37","Andersson, Miss. Ingeborg Constanzia","female",9,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"38","Andersson, Miss. Sigrid Elisabeth","female",11,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"39","Andersson, Mr. Anders Johan","male",39,"3rd","S","Sweden",347082,31.0506,"1","5","no"
"40","Andersson, Mr. Johan Samuel","male",26,"3rd","S","Sweden",347075,7.1506,"0","0","no"
"41","Andersson, Mrs. Alfrida Konstantia Brogren","female",39,"3rd","S","Sweden",347082,31.0506,"1","5","no"
"42","Andreasson, Mr. Pål Edvin","male",20,"3rd","S","Sweden",347466,7.1701,"0","0","no"
"43","Andrew, Mr. Edgar Samuel","male",17,"2nd","S","Argentina",231945,11.1,"0","0","no"
"44","Andrew, Mr. Frank Thomas","male",27,"2nd","S","England",34050,10.1,"0","0","no"
"45","Andrews, Miss. Kornelia Theodosia","female",62,"1st","C","United States",13502,77.1902,"1","0","yes"
"46","Andrews, Mr. Thomas","male",39,"1st","B","Northern Ireland",112050,NA,"0","0","no"
"47","Angheloff, Mr. Minko","male",26,"3rd","S","Bulgaria",349202,7.1711,"0","0","no"
"48","Angle, Mrs. Florence Agnes","female",36,"2nd","S","England",226875,26,"1","0","yes"
"49","Angle, Mr. William","male",31,"2nd","S","England",226875,26,"1","0","no"
"50","Appleton, Mrs. Charlotte","female",53,"1st","S","United States",11769,51.0907,"2","0","yes"
"51","Arnold-Franchi, Mr. Josef","male",25,"3rd","S","Switzerland",349237,17.16,"1","0","no"
"52","Arnold-Franchi, Mrs. Josefine","female",18,"3rd","S","Switzerland",349237,17.16,"1","0","no"
"53","Aronsson, Mr. Ernst Axel Algot","male",25,"3rd","S","Sweden",349911,7.1506,"0","0","no"
"54","Artagaveytia, Mr. Ramon","male",71,"1st","C","Argentina",17609,49.1001,"0","0","no"
"55","Ashby, Mr. John","male",57,"2nd","S","England",244346,13,"0","0","no"
"56","Asim, Mr. Adola","male",35,"3rd","S","Argentina",3101310,7.01,"0","0","no"
"57","Asplund, Master. Carl Edgar","male",5,"3rd","S","Sweden",347077,31.0709,"4","2","no"
"58","Asplund, Master. Clarence Gustaf Hugo","male",9,"3rd","S","Sweden",347077,31.0709,"4","2","no"
"59","Asplund, Master. Edvin Rojj Felix","male",3,"3rd","S","Sweden",347077,31.0709,"4","2","yes"
"60","Asplund, Master. Filip Oscar","male",13,"3rd","S","Sweden",347077,31.0709,"4","2","no"
"61","Asplund, Miss. Lillian Gertrud","female",5,"3rd","S","Sweden",347077,31.0709,"4","2","yes"
"62","Asplund, Mr. Carl Oscar Vilhelm Gustafsson","male",40,"3rd","S","Sweden",347077,31.0709,"1","5","no"
"63","Asplund, Mr. Johan Charles","male",13,"3rd","S","Sweden",350054,7.1511,"0","0","yes"
"64","Asplund, Mrs. Selma Augusta Emilia","female",38,"3rd","S","Sweden",347077,31.0709,"1","5","yes"
"65","Assaf, Mrs. Mariana","female",45,"3rd","C","Lebanon",2696,7.0406,"0","0","yes"
"66","Assam, Mr. Ali","male",23,"3rd","S","Argentina",3101309,7.01,"0","0","no"
"67","Astor, Colonel. John Jacob","male",47,"1st","C","United States",17757,247.1006,"1","0","no"
"68","Astor, Mrs. Madeleine Talmage","female",18,"1st","C","United States",17757,247.1006,"1","0","yes"
"69","Attalah, Miss. Malake","female",17,"3rd","C","Lebanon",2627,14.0902,"0","0","no"
"70","Attala, Mr. Sleiman","male",27,"3rd","C","Canada",2694,7.0406,"0","0","no"
"71","Aubart, Mme. Léontine Pauline","female",24,"1st","C","France",17477,69.06,"0","0","yes"
"72","Augustsson, Mr. Albert","male",23,"3rd","S","Sweden",347468,7.1701,"0","0","no"
"73","Ayoub Daher, Miss. Banoura","female",15,"3rd","C","Lebanon",2687,7.0407,"0","0","yes"
"74","Backström, Mr. Karl Alfred","male",32,"3rd","S","Finland",3101278,15.17,"1","0","no"
"75","Backström, Mrs. Maria Mathilda","female",33,"3rd","S","Finland",3101278,15.17,"3","0","yes"
"76","Baclini, Miss. Eugenie","female",3,"3rd","C","Lebanon",2666,19.0502,"2","1","yes"
"77","Baclini, Miss. Helene Barbara","female",0.75,"3rd","C","Lebanon",2666,19.0502,"2","1","yes"
"78","Baclini, Miss. Marie Catherine","female",5,"3rd","C","Lebanon",2666,19.0502,"2","1","yes"
"79","Baclini, Mrs. Latifa","female",23,"3rd","C","Lebanon",2666,19.0502,"0","3","yes"
"80","Badman, Miss. Emily Louisa","female",18,"3rd","S","England",31416,8.01,"0","0","yes"
"81","Badt, Mr. Mohamed","male",40,"3rd","C","Lebanon",2623,7.0406,"0","0","no"
"82","Bailey, Mr. Percy","male",18,"2nd","S","England",29108,11.1,"0","0","no"
"83","Bainbrigge, Mr. Charles Robert","male",22,"2nd","S","Channel Islands",31030,10.1,"0","0","no"
"84","Balkic, Mr. Cerin","male",26,"3rd","S","Bosnia",349248,7.1711,"0","0","no"
"85","Balls, Mrs. Ada E.","female",36,"2nd","S","England",28551,13,"0","0","yes"
"86","Banfield, Mr. Frederick James","male",28,"2nd","S","England",34068,10.1,"0","0","no"
"87","Banski, Mrs. Mara","female",31,"3rd","S","Hungary",349244,8.1308,"0","0","yes"
"88","Barbara, Miss. Saiide","female",18,"3rd","C","Lebanon",2691,14.0901,"0","1","no"
"89","Barbara, Mrs. Catherine David","female",45,"3rd","C","Lebanon",2691,14.0901,"0","1","no"
"90","Barber, Miss. Ellen Mary","female",27,"1st","S",NA,19877,78.17,"0","0","yes"
"91","Barkworth, Mr. Algernon Henry","male",47,"1st","S","England",27042,30,"0","0","yes"
"92","Barry, Miss. Julia","female",33,"3rd","Q","Ireland",330844,7.1707,"0","0","no"
"93","Barton, Mr. David John","male",22,"3rd","S","England",324669,8.01,"0","0","no"
"94","Bassani, Mrs. Albina","female",32,"1st","C","Italy",11813,76.051,"0","0","yes"
"95","Bateman, Revd. Robert James","male",52,"2nd","S","England",1166,12.1006,"0","0","no"
"96","Batoshev, Mr. Hristo Lalev","male",23,"3rd","S","Bulgaria",349217,7.1711,"0","0","no"
"97","Baumann, Mr. John D.","male",60,"1st","C","United States",17318,25.1806,"0","0","no"
"98","Baxter, Mr. Quigg Edmond","male",24,"1st","C","Canada",17558,247.1005,"0","1","no"
"99","Baxter, Mrs. Hélène","female",50,"1st","C","Canada",17558,247.1005,"0","1","yes"
"100","Beane, Mr. Edward","male",32,"2nd","S","England",2908,26,"1","0","yes"
"101","Beane, Mrs. Ethel","female",22,"2nd","S","England",2908,26,"1","0","yes"
"102","Beattie, Mr. Thomson","male",36,"1st","S","Canada",13050,75.041,"0","0","no"
"103","Beauchamp, Mr. Henry James","male",44,"2nd","S","England",244358,26,"0","0","no"
"104","Beavan, Mr. William Thomas","male",20,"3rd","S","England",323951,8.01,"0","0","no"
"105","Becker, Master. Richard F.","male",1,"2nd","S","India",230136,39,"2","1","yes"
"106","Becker, Miss. Marion Louise","female",4,"2nd","S","India",230136,39,"2","1","yes"
"107","Becker, Miss. Ruth Elizabeth","female",12,"2nd","S","India",230136,39,"2","1","yes"
"108","Becker, Mrs. Nellie E.","female",35,"2nd","S","United States",230136,39,"0","3","yes"
"109","Beckwith, Mr. Richard Leonard","male",37,"1st","S","United States",11751,52.1101,"1","1","yes"
"110","Beckwith, Mrs. Sallie","female",46,"1st","S","United States",11751,52.1101,"1","1","yes"
"111","Beesley, Mr. Lawrence","male",34,"2nd","S","England",248698,13,"0","0","yes"
"112","Behr, Mr. Karl Howell","male",26,"1st","C","United States",111369,30,"0","0","yes"
"113","Bengtsson, Mr. Johan Viktor","male",26,"3rd","S","Sweden",347068,7.1506,"0","0","no"
"114","Bentham, Miss. Lillian W.","female",19,"2nd","S","United States",28404,13,"0","0","yes"
"115","Berglund, Mr. Karl Ivar Sven","male",22,"3rd","S","Finland",4348,9.07,"0","0","no"
"116","Berriman, Mr. William John","male",23,"2nd","S","England",28425,13,"0","0","no"
"117","Bessette, Miss. Nellie Mayo","female",39,"1st","C","United States",17760,63.0702,"0","0","yes"
"118","Bidois, Miss. Rosalie","female",46,"1st","C",NA,17757,247.1006,"0","0","yes"
"119","Bing, Mr. Lee","male",32,"3rd","S",NA,1601,56.0911,"0","0","yes"
"120","Bird, Miss. Ellen","female",31,"1st","S","England",17483,221.1507,"0","0","yes"
"121","Birkeland, Mr. Hans Martin Monsen","male",21,"3rd","S","Norway",312992,7.1506,"0","0","no"
"122","Birnbaum, Mr. Jakob","male",24,"1st","C",NA,13905,26,"0","0","no"
"123","Bishop, Mr. Dickinson H.","male",25,"1st","C","United States",11967,91.0107,"1","0","yes"
"124","Bishop, Mrs. Helen","female",19,"1st","C","United States",11967,91.0107,"1","0","yes"
"125","Björklund, Mr. Ernst Herbert","male",18,"3rd","S","Sweden",347090,7.15,"0","0","no"
"126","Björnström-Steffansson, Mr. Mauritz Hokan","male",28,"1st","S","Sweden",110564,26.11,"0","0","yes"
"127","Blackwell, Mr. Stephen Weart","male",45,"1st","S","United States",113784,35.1,"0","0","no"
"128","Blank, Mr. Henry","male",39,"1st","C","United States",112277,31,"0","0","yes"
"129","Bonnell, Miss. Caroline","female",30,"1st","S","United States",36928,164.1704,"0","0","yes"
"130","Bonnell, Miss. Elizabeth","female",61,"1st","S","England",113783,26.11,"0","0","yes"
"131","Borebank, Mr. John James","male",41,"1st","S","England",110489,26.11,"0","0","no"
"132","Bostandyeff, Mr. Guentcho","male",26,"3rd","S",NA,349224,7.1711,"0","0","no"
"133","Botsford, Mr. William Hull","male",25,"2nd","S","United States",237670,13,"0","0","no"
"134","Bourke, Miss. Mary","female",40,"3rd","Q","Ireland",364848,7.15,"0","2","no"
"135","Bourke, Mr. John","male",42,"3rd","Q","Ireland",364849,15.1,"1","1","no"
"136","Bourke, Mrs. Catherine","female",32,"3rd","Q","Ireland",364849,15.1,"1","1","no"
"137","Bowen, Miss. Grace Scott","female",45,"1st","C","United States",17608,262.0706,"0","0","yes"
"138","Bowen, Mr. David John 'Dai'","male",26,"3rd","S","Wales",54636,16.02,"0","0","no"
"139","Bowenur, Mr. Solomon","male",42,"2nd","S",NA,211535,13,"0","0","no"
"140","Bowerman, Miss. Elsie Edith","female",22,"1st","S","England",113505,55,"0","1","yes"
"141","Bracken, Mr. James Hollen","male",30,"2nd","S","United States",220367,13,"0","0","no"
"142","Bradley, Miss. Bridget Delia","female",22,"3rd","Q","Ireland",334914,7.1406,"0","0","yes"
"143","Brady, Mr. John Bertram","male",41,"1st","S","United States",113054,30.1,"0","0","no"
"144","Braf, Miss. Elin Ester Maria","female",20,"3rd","S","Sweden",347471,7.1701,"0","0","no"
"145","Brailey, Mr. William Theodore Ronald","male",24,"2nd","S","England",250654,NA,NA,NA,"no"
"146","Brandeis, Mr. Emil Franklin","male",48,"1st","C","United States",17591,50.0911,"0","0","no"
"147","Braund, Mr. Lewis Richard","male",29,"3rd","S","England",3460,7,"1","0","no"
"148","Braund, Mr. Owen Harris","male",23,"3rd","S","England",21171,7.05,"1","0","no"
"149","Brereton, Mr. George Andrew","male",37,"1st","S","United States",111427,26.11,"0","0","yes"
"150","Brewe, Dr. Arthur Jackson","male",46,"1st","C","United States",112379,39.12,"0","0","no"
"151","Bricoux, Mr. Roger Marie","male",20,"2nd","S","France",250654,NA,NA,NA,"no"
"152","Brito, Mr. José Joaquim de","male",32,"2nd","S",NA,244360,13,"0","0","no"
"153","Brobäck, Mr. Karl Rudolf","male",22,"3rd","S","Sweden",350045,7.1511,"0","0","no"
"154","Brocklebank, Mr. William Alfred","male",40,"3rd","S","England",364512,8.01,"0","0","no"
"155","Brown, Miss. Amelia Mary","female",18,"2nd","S","England",248733,13,"0","0","yes"
"156","Brown, Miss. Edith Eileen","female",15,"2nd","S","South Africa",29750,39,"0","2","yes"
"157","Brown, Mrs. Caroline Lane","female",59,"1st","S","United States",11769,51.0907,"2","0","yes"
"158","Brown, Mrs. Elizabeth Catherine","female",40,"2nd","S","South Africa",29750,39,"1","1","yes"
"159","Brown, Mrs. Margaret","female",44,"1st","C","United States",17610,27.1405,"0","0","yes"
"160","Brown, Mr. Thomas William Solomon","male",60,"2nd","S","South Africa",29750,39,"1","1","no"
"161","Bryhl, Miss. Dagmar Jenny Ingeborg","female",20,"2nd","S","Sweden",236853,26,"1","0","yes"
"162","Bryhl, Mr. Kurt Arnold Gottfrid","male",25,"2nd","S","Sweden",236853,26,"1","0","no"
"163","Buckley, Miss. Katherine","female",22,"3rd","Q","Ireland",329944,7.0508,"0","0","no"
"164","Buckley, Mr. Daniel","male",21,"3rd","Q","Ireland",330920,7.1517,"0","0","yes"
"165","Bucknell, Mrs. Emma Eliza","female",58,"1st","C","India",11813,76.051,"0","0","yes"
"166","Būlus, Master. Akar","male",7,"3rd","C","Lebanon",2678,15.0411,"1","1","no"
"167","Būlus, Miss. Nūr al-'ayn","female",10,"3rd","C","Lebanon",2678,15.0411,"1","1","no"
"168","Būlus, Mrs. Sultānah","female",40,"3rd","C","Lebanon",2678,15.0411,"0","2","no"
"169","Burke, Mr. Jeremiah","male",19,"3rd","Q","Ireland",365222,6.15,"0","0","no"
"170","Burns, Miss. Elizabeth Margaret","female",41,"1st","C",NA,16966,134.1,"0","0","yes"
"171","Burns, Miss. Mary Delia","female",17,"3rd","Q","Ireland",330963,7.1707,"0","0","no"
"172","Buss, Miss. Kate","female",36,"2nd","S","England",27849,13,"0","0","yes"
"173","Butler, Mr. Reginald Fenton","male",26,"2nd","S","England",234686,13,"0","0","no"
"174","Butrus-Ka'wī, Mr. Tannūs","male",21,"3rd","C","Lebanon",2648,7.0407,"0","0","no"
"175","Butt, Major. Archibald Willingham","male",46,"1st","S","United States",113050,26.11,"0","0","no"
"176","Byles, Fr. Thomas Roussel Davids","male",42,"2nd","S","England",244310,13,"0","0","no"
"177","Byström, Mrs. Karolina","female",40,"2nd","S","United States",236852,13,"0","0","yes"
"178","Cacic, Miss. Manda","female",21,"3rd","S","Croatia (Modern)",315087,8.1303,"0","0","no"
"179","Cacic, Miss. Marija","female",30,"3rd","S","Croatia (Modern)",315084,8.1303,"0","0","no"
"180","Cacic, Mr. Jego Grga","male",18,"3rd","S","Croatia (Modern)",315091,8.1303,"0","0","no"
"181","Cacic, Mr. Luka","male",38,"3rd","S","Croatia (Modern)",315089,8.1303,"0","0","no"
"182","Cairns, Mr. Alexander Milne","male",28,"1st","S","Scotland",113798,31,"0","0","no"
"183","Calderhead, Mr. Edward Pennington","male",42,"1st","S","United States",17476,26.0509,"0","0","yes"
"184","Caldwell, Master. Alden Gates","male",0.8333333333,"2nd","S","Siam",248738,29,"0","2","yes"
"185","Caldwell, Mr. Albert Francis","male",26,"2nd","S","Siam",248738,29,"1","1","yes"
"186","Caldwell, Mrs. Sylvia Mae","female",28,"2nd","S","United States",248738,29,"1","1","yes"
"187","Calic, Mr. Jovo","male",17,"3rd","S","Croatia (Modern)",315093,8.1303,"0","0","no"
"188","Calic, Mr. Petar","male",17,"3rd","S","Croatia (Modern)",315086,8.1303,"0","0","no"
"189","Cameron, Miss. Clear Annie","female",35,"2nd","S","England",13528,21,"0","0","yes"
"190","Campbell, Mr. William Henry","male",21,"2nd","B","Northern Ireland",239853,NA,"0","0","no"
"191","Canavan, Miss. Mary","female",22,"3rd","Q","Ireland",364846,7.15,"0","0","no"
"192","Canavan, Mr. Patrick","male",21,"3rd","Q","Ireland",364858,7.15,"0","0","no"
"193","Candee, Mrs. Helen Churchill","female",52,"1st","C","United States",17606,27.0811,"0","0","yes"
"194","Cann, Mr. Ernest","male",29,"3rd","S","England",2152,8.01,"0","0","no"
"195","Caram, Mr. Joseph","male",28,"3rd","C","Canada",2689,14.0902,"1","0","no"
"196","Caram, Mrs. Maria Elias","female",18,"3rd","C","Lebanon",2689,14.0902,"1","0","no"
"197","Carbines, Mr. William","male",19,"2nd","S","England",28424,13,"0","0","no"
"198","Cardeza, Mrs. Charlotte Wardle","female",58,"1st","C","United States",17755,512.0607,"0","1","yes"
"199","Cardeza, Mr. Thomas Drake Martinez","male",36,"1st","C","United States",17755,512.0607,"0","1","yes"
"200","Carlsson, Mr. August Sigfrid","male",28,"3rd","S","Sweden",350042,7.1511,"0","0","no"
"201","Carlsson, Mr. Carl Robert","male",24,"3rd","S","Sweden",350409,7.1701,"0","0","no"
"202","Carlsson, Mr. Frans Olof","male",33,"1st","S","United States",695,5,"0","0","no"
"203","Carraú-Esteves, Mr. José Pedro","male",17,"1st","S","Uruguay",113059,47.02,"0","0","no"
"204","Carrau, Mr. Francisco Mauro Severiano","male",27,"1st","S","Uruguay",113059,47.02,"0","0","no"
"205","Carr, Miss. Jane","female",45,"3rd","Q","Ireland",368364,7.15,"0","0","no"
"206","Carter, Fr. Ernest Courtenay","male",54,"2nd","S","England",244252,26,"1","0","no"
"207","Carter, Master. William Thornton II","male",11,"1st","S","United States",113760,120,"1","2","yes"
"208","Carter, Miss. Lucile Polk","female",13,"1st","S","United States",113760,120,"1","2","yes"
"209","Carter, Mrs. Lilian","female",45,"2nd","S","England",244252,26,"1","0","no"
"210","Carter, Mrs. Lucile","female",36,"1st","S","United States",113760,120,"1","2","yes"
"211","Carter, Mr. William Ernest","male",36,"1st","S","United States",113760,120,"1","2","yes"
"212","Carver, Mr. Alfred John","male",28,"3rd","S","England",370160,7.05,"0","0","no"
"213","Case, Mr. Howard Brown","male",49,"1st","S","United States",19924,26,"0","0","no"
"214","Cassebeer, Mrs. Eleanor Genevieve","female",36,"1st","C","United States",17770,27.1405,"0","0","yes"
"215","Cavendish, Mrs. Julia Florence","female",25,"1st","S","United States",19877,78.17,"1","0","yes"
"216","Cavendish, Mr. Tyrell William","male",36,"1st","S","England",19877,78.17,"1","0","no"
"217","Celotti, Mr. Francesco","male",24,"3rd","S",NA,343275,8.01,"0","0","no"
"218","Chaffee, Mr. Herbert Fuller","male",46,"1st","S","United States",5734,61.0306,"1","0","no"
"219","Chaffee, Mrs. Carrie Constance","female",47,"1st","S","United States",5734,61.0306,"1","0","yes"
"220","Chambers, Mr. Norman Campbell","male",27,"1st","S","United States",113806,53.02,"1","0","yes"
"221","Chambers, Mrs. Bertha","female",32,"1st","S","United States",113806,53.02,"1","0","yes"
"222","Chapman, Mr. Charles Henry","male",52,"2nd","S","United States",248731,13.1,"0","0","no"
"223","Chapman, Mr. John Henry","male",37,"2nd","S","England",29037,26,"1","0","no"
"224","Chapman, Mrs. Sara Elizabeth","female",29,"2nd","S","England",29037,26,"1","0","no"
"225","Charters, Mr. David","male",20,"3rd","Q","Ireland",13032,7.1408,"0","0","no"
"226","Chaudanson, Miss. Victorine","female",36,"1st","C",NA,17608,262.0706,"0","0","yes"
"227","Cherry, Miss. Gladys","female",30,"1st","S","England",110152,86.1,"0","0","yes"
"228","Chevré, Mr. Paul Romaine Marie Léonce","male",45,"1st","C","Belgium",17594,29.14,"0","0","yes"
"229","Chibnall, Mrs. Edith Martha Bowerman","female",48,"1st","S","England",113505,55,"0","1","yes"
"230","Chip, Mr. Chang","male",32,"3rd","S",NA,1601,56.0911,"0","0","yes"
"231","Chisholm, Mr. Roderick Robert Crispin","male",43,"1st","B","Scotland",112051,NA,"0","0","no"
"232","Christmann, Mr. Emil","male",29,"3rd","S","England",343276,8.01,"0","0","no"
"233","Christy, Miss. Rachel Juli Cohen","female",25,"2nd","S","England",237789,30,"1","1","yes"
"234","Christy, Mrs. Alice Frances","female",52,"2nd","S","England",237789,30,"0","2","yes"
"235","Chronopoulos, Mr. Apostolos M.","male",26,"3rd","C",NA,2680,14.0901,"1","0","no"
"236","Chronopoulos, Mr. Dimitrios M.","male",21,"3rd","C",NA,2680,14.0901,"1","0","no"
"237","Clarke, Mr. Charles Valentine","male",29,"2nd","S","England",2003,26,"1","0","no"
"238","Clarke, Mr. John Frederick Preston","male",28,"2nd","S","England",250654,NA,NA,NA,"no"
"239","Clarke, Mrs. Ada Maria","female",28,"2nd","S","England",2003,27,"1","0","yes"
"240","Clark, Mrs. Virginia Estelle","female",26,"1st","C","United States",13508,136.1507,"1","0","yes"
"241","Clark, Mr. Walter Miller","male",27,"1st","C","United States",13508,136.1507,"1","0","no"
"242","Cleaver, Miss. Alice Catherine","female",22,"1st","S","England",113781,151.16,"0","0","yes"
"243","Clifford, Mr. George Quincy","male",40,"1st","S","United States",110465,52,"0","0","no"
"244","Coelho, Mr. Domingos Fernandeo","male",20,"3rd","S",NA,3101307,7.01,"0","0","no"
"245","Cohen, Mr. Gurshon","male",18,"3rd","S","England",3540,8.01,"0","0","yes"
"246","Colbert, Mr. Patrick","male",24,"3rd","Q","Ireland",371109,7.05,"0","0","no"
"247","Coleff, Mr. Satio","male",24,"3rd","S","Bulgaria",349209,7.1711,"0","0","no"
"248","Coleridge, Mr. Reginald Charles","male",29,"2nd","S","England",14263,10.1,"0","0","no"
"249","Collander, Mr. Erik Gustaf","male",27,"2nd","S","Finland",248740,13,"0","0","no"
"250","Collett, Mr. Sidney Clarence Stuart","male",25,"2nd","S","England",28034,10.1,"0","0","yes"
"251","Colley, Mr. Edward Pomeroy","male",37,"1st","S","Ireland",5727,25.1109,"0","0","no"
"252","Collyer, Miss. Marjorie Lottie","female",8,"2nd","S","England",31921,26.05,"0","2","yes"
"253","Collyer, Mr. Harvey","male",31,"2nd","S","England",31921,26.05,"1","1","no"
"254","Collyer, Mrs. Charlotte Caroline","female",30,"2nd","S","England",31921,26.05,"1","1","yes"
"255","Coltcheff, Mr. Peju","male",36,"3rd","S","Bulgaria",349210,7.1711,"0","0","no"
"256","Compton, Miss. Sara Rebecca","female",39,"1st","C","United States",17756,83.0302,"1","1","yes"
"257","Compton, Mr. Alexander Taylor jr","male",37,"1st","C","United States",17756,83.0302,"1","1","no"
"258","Compton, Mrs. Mary Eliza","female",64,"1st","C","United States",17756,83.0302,"0","2","yes"
"259","Conlin, Mr. Thomas Henry","male",31,"3rd","Q","United States",21332,7.1408,"0","0","no"
"260","Connaughton, Mr. Michael","male",40,"3rd","Q","Ireland",335097,7.15,"0","0","no"
"261","Connolly, Miss. Catherine","female",23,"3rd","Q","Ireland",370373,7.15,"0","0","yes"
"262","Connolly, Miss. Kate","female",41,"3rd","Q","Ireland",330972,7.1207,"0","0","no"
"263","Connors, Mr. Patrick","male",66,"3rd","Q","Ireland",370369,7.15,"0","0","no"
"264","Cook, Mr. Jacob","male",43,"3rd","S",NA,3536,8.01,"0","0","no"
"265","Cook, Mrs. Selena","female",22,"2nd","S","England",14266,10.1,"0","0","yes"
"266","Corbett, Mrs. Irene","female",30,"2nd","S","United States",237249,13,"0","0","no"
"267","Corey, Mrs. Mary Emma","female",32,"2nd","S",NA,13534,21,"0","0","no"
"268","Cor, Mr. Bartol","male",35,"3rd","S","Croatia (Modern)",349230,7.1711,"0","0","no"
"269","Cor, Mr. Ivan","male",27,"3rd","S","Hungary",349229,7.1711,"0","0","no"
"270","Cor, Mr. Liudevit","male",19,"3rd","S","Hungary",349231,7.1711,"0","0","no"
"271","Cornblatt, Mr. Harris","male",30,"3rd","S","Poland",392090,8.01,"0","0","no"
"272","Cornell, Mrs. Malvina Helen","female",55,"1st","S","United States",11770,25.141,"2","0","yes"
"273","Corr, Miss. Ellen","female",16,"3rd","Q","Ireland",367231,7.15,"0","0","yes"
"274","Cotterill, Mr. Henry","male",21,"2nd","S","England",29107,11.1,"0","0","no"
"275","Coutts, Master. Neville Leslie","male",3,"3rd","S","England",37671,15.18,"1","1","yes"
"276","Coutts, Master. William Loch","male",9,"3rd","S","England",37671,15.18,"1","1","yes"
"277","Coutts, Mrs. Winnie","female",36,"3rd","S","England",37671,15.18,"0","2","yes"
"278","Coxon, Mr. Daniel","male",58,"3rd","S","England",364500,7.05,"0","0","no"
"279","Crafton, Mr. John Bertram","male",59,"1st","S","United States",113791,26.11,"0","0","no"
"280","Crease, Mr. Ernest James","male",20,"3rd","S","United States",3464,8.0302,"0","0","no"
"281","Cribb, Miss. Laura Mae","female",16,"3rd","S","United States",371362,16.02,"0","1","yes"
